PlayerID,num of teams,avg fouls/min,Active
1,3,0.049,TRUE
2,1,0.039,TRUE
3,8,0.045,Flse
4,2,0.043,TRUE
5,0,0.044,TRUE
6,4,0.047,TRUE
7,7,0.036,Flse
8,2,,TRUE
9,1,0.047,TRUE
10,1,0.047,TRUE
11,3,0.049,TRUE
12,1,0.039,Flse
13,8,0.045,TRUE
14,2,0.043,TRUE
15,0,0.044,TRUE
16,4,0.047,Flse
17,7,0.036,TRUE
18,2,,TRUE
19,1,0.047,FALSE
20,1,0.047,FALSE
21,3,0.049,FALSE
22,1,0.039,FALSE
23,8,0.045,FALSE
24,2,0.043,FALSE
25,0,0.044,FALSE
26,4,0.047,FALSE
27,7,0.036,FALSE
28,2,0.036,Flse
29,1,0.036,Flse
30,1,0.036,TRUE
31,3,0.049,TRUE
32,1,0.039,Flse
33,8,0.045,TRUE
34,2,0.043,TRUE
35,0,0.044,TRUE
36,4,0.047,Flse
37,7,0.036,TRUE
38,2,,TRUE
39,1,0.036,TRUE
40,1,0.036,TRUE
41,7,0.036,TRUE
42,2,0.036,TRUE
43,1,0.036,Flse
44,1,0.036,TRUE
45,3,0.049,TRUE
46,1,0.039,TRUE
47,8,0.045,Flse
48,2,0.043,TRUE
49,3,0.044,TRUE
50,1,0.047,TRUE
